"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Relative Humidity"
"1/1/1999","32.8125","39.8092002868652","970","1.11599999999999","-4.846","0.897067729235198",
"1/2/1999","32.8125","39.8092002868652","970","3.59399999999999","-5.37400000000002","0.878100886315174",
"1/3/1999","32.8125","39.8092002868652","970","5.59100000000001","-3.79000000000002","0.888953896839001",
"1/4/1999","32.8125","39.8092002868652","970","7.13799999999998","-1.22399999999999","0.840540891279864",
"1/5/1999","32.8125","39.8092002868652","970","7.72399999999999","-0.824999999999989","0.808253596902263",
"1/6/1999","32.8125","39.8092002868652","970","5.49000000000001","-1.14600000000002","0.905660757170849",
"1/7/1999","32.8125","39.8092002868652","970","6.065","-1.95100000000002","0.793960351344853",
"1/8/1999","32.8125","39.8092002868652","970","4.16399999999999","-6.86500000000001","0.876027570075735",
"1/9/1999","32.8125","39.8092002868652","970","4.80000000000001","-5.85899999999998","0.920948545004945",
"1/10/1999","32.8125","39.8092002868652","970","5.21300000000002","-1.34699999999998","0.973078646208659",
"1/11/1999","32.8125","39.8092002868652","970","5.303","1.62","0.979618905152929",
"1/12/1999","32.8125","39.8092002868652","970","6.82799999999997","3.04300000000001","0.974893709382813",
"1/13/1999","32.8125","39.8092002868652","970","6.71600000000001","2.512","0.974916700610755",
"1/14/1999","32.8125","39.8092002868652","970","8.529","2.23200000000003","0.920940891146529",
"1/15/1999","32.8125","39.8092002868652","970","7.37799999999999","1.42500000000001","0.917363150694207",
"1/16/1999","32.8125","39.8092002868652","970","4.56799999999998","0.447999999999979","0.91134339067687",
"1/17/1999","32.8125","39.8092002868652","970","4.00999999999999","-2.399","0.78483445531251",
"1/18/1999","32.8125","39.8092002868652","970","-0.790999999999997","-3.666","0.794529959953858",
"1/19/1999","32.8125","39.8092002868652","970","-0.0749999999999886","-2.584","0.955909770073135",
"1/20/1999","32.8125","39.8092002868652","970","2.291","-2.55700000000002","0.827524170862271",
"1/21/1999","32.8125","39.8092002868652","970","4.173","-3.68200000000002","0.810261484733951",
"1/22/1999","32.8125","39.8092002868652","970","3.62","-5.60899999999998","0.863159460267476",
"1/23/1999","32.8125","39.8092002868652","970","2.98399999999998","-7.03399999999999","0.856308228446877",
"1/24/1999","32.8125","39.8092002868652","970","2.67399999999998","-6.62700000000001","0.821614973766643",
"1/25/1999","32.8125","39.8092002868652","970","2.62099999999998","-6.63400000000001","0.8032940951747",
"1/26/1999","32.8125","39.8092002868652","970","3.11099999999999","-7.52199999999999","0.82410981672649",
"1/27/1999","32.8125","39.8092002868652","970","3.87299999999999","-4.75700000000001","0.837337715637956",
