"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Relative Humidity"
"1/1/1999","37.5","38.2480010986328","1439","0.374000000000024","-6.505","0.81505695890764",
"1/2/1999","37.5","38.2480010986328","1439","2.90300000000002","-4.91000000000003","0.663284015256271",
"1/3/1999","37.5","38.2480010986328","1439","3.85700000000003","-4.47199999999998","0.603571798246357",
"1/4/1999","37.5","38.2480010986328","1439","3.81999999999999","-2.40899999999999","0.571855706977096",
"1/5/1999","37.5","38.2480010986328","1439","1.726","-3.786","0.628457197465572",
"1/6/1999","37.5","38.2480010986328","1439","3.56799999999998","-3.209","0.645060966744276",
"1/7/1999","37.5","38.2480010986328","1439","4.03399999999999","-2.80599999999998","0.767863718748915",
"1/8/1999","37.5","38.2480010986328","1439","3.935","-3.61599999999999","0.848609590175592",
"1/9/1999","37.5","38.2480010986328","1439","4.75900000000001","-2.88799999999998","0.904616737575114",
"1/10/1999","37.5","38.2480010986328","1439","2.62200000000001","-0.0500000000000114","0.956701971383586",
"1/11/1999","37.5","38.2480010986328","1439","4.53300000000002","0.504000000000019","0.971205914062759",
"1/12/1999","37.5","38.2480010986328","1439","6.98700000000002","-0.610000000000014","0.91695371013195",
"1/13/1999","37.5","38.2480010986328","1439","4.82100000000003","-1.286","0.979368926510387",
"1/14/1999","37.5","38.2480010986328","1439","2.798","1.01400000000001","0.992417604385507",
"1/15/1999","37.5","38.2480010986328","1439","4.822","-0.737000000000023","0.944569436676923",
"1/16/1999","37.5","38.2480010986328","1439","5.18900000000002","-2.52800000000002","0.925281086770646",
"1/17/1999","37.5","38.2480010986328","1439","2.25","-3.02800000000002","0.925258030034606",
"1/18/1999","37.5","38.2480010986328","1439","0.255999999999972","-5.596","0.968997688616751",
"1/19/1999","37.5","38.2480010986328","1439","0.309000000000026","-1.62200000000001","0.995924112549172",
"1/20/1999","37.5","38.2480010986328","1439","0.112000000000023","-5.351","0.95731147573438",
"1/21/1999","37.5","38.2480010986328","1439","1.00700000000001","-6.58999999999998","0.943943436489765",
"1/22/1999","37.5","38.2480010986328","1439","2.06400000000002","-4.64600000000002","0.960388190153738",
"1/23/1999","37.5","38.2480010986328","1439","1.02699999999999","-0.709000000000003","0.984127049420736",
"1/24/1999","37.5","38.2480010986328","1439","0.646000000000015","-3.39699999999999","0.976999854917045",
"1/25/1999","37.5","38.2480010986328","1439","0.307999999999993","-5.47000000000003","0.904245002010156",
"1/26/1999","37.5","38.2480010986328","1439","2.85500000000002","-5.12799999999999","0.854371364611925",
"1/27/1999","37.5","38.2480010986328","1439","-0.399000000000001","-1.92000000000002","0.957984017199062",
"1/28/1999","37.5","38.2480010986328","1439","0.168000000000006","-1.86099999999999","0.980140569663754",
